"TCOS21","Acts 9:21","But all that heard [him] were amazed, and said; Is not this he that destroyed them which called on this name in Jerusalem, and came hither for that intent, that he might bring them bound unto the chief priests?"
"TCOS22","Acts 9:22","But Saul increased the more in strength, and confounded the Jews which dwelt at Damascus, proving that this is very Christ."
"TCOS23","Acts 9:23","And after that many days were fulfilled, the Jews took counsel to kill him:"
"TCOS24","Acts 9:24","But their laying await was known of Saul.  And they watched the gates day and night to kill him."
"TCOS25","Acts 9:25","Then the disciples took him by night, and let [him] down by the wall in a basket."
"TCOS26","Acts 9:26","And when Saul was come to Jerusalem, he assayed to join himself to the disciples: but they were all afraid of him, and believed not that he was a disciple."
"TCOS27","Acts 9:27","But Barnabas took him, and brought [him] to the apostles, and declared unto them how he had seen the Lord in the way, and that he had spoken to him, and how he had preached boldly at Damascus in the name of Jesus."
"TCOS28","Acts 9:28","And he was with them coming in and going out at Jerusalem."
"TCOS29","Acts 9:29","And he spake boldly in the name of the Lord Jesus, and disputed against the Grecians: but they went about to slay him."
"TCOS30","Acts 9:30","[Which] when the brethren knew, they brought him down to Caesarea, and sent him forth to Tarsus."
"TLC1","1 Corinthians 13:1","Though I speak with the tongues of men and of angels, and have not charity, I am become [as ]sounding brass, or a tinkling cymbal."
"TLC2","1 Corinthians 13:2","And though I have [the gift of] prophecy, and understand all mysteries, and all knowledge; and though I have all faith, so that I could remove mountains, and have not charity, I am nothing."
"TLC3","1 Corinthians 13:3","And though I bestow all my goods to feed [the poor,] and though I give my body to be burned, and have not charity, it profiteth me nothing."
"TLC4","1 Corinthians 13:4","Charity suffereth long, [and] is kind; charity envieth not; charity vaunteth not itself, is not puffed up,"
"TLC5","1 Corinthians 13:5","Doth not behave itself unseemly, seeketh not her own, is not easily provoked, thinketh no evil;"
"TLC6","1 Corinthians 13:6","Rejoiceth not in iniquity, but rejoiceth in the truth;"
"TLC7","1 Corinthians 13:7","Beareth all things, believeth all things, hopeth all things, endureth all things."
"TLC8","1 Corinthians 13:8","Charity never faileth: but whether [there be] prophecies, they shall fail; whether [there be] tongues, they shall cease; whether [there be] knowledge, it shall vanish away."
"TLC9","1 Corinthians 13:9","For we know in part, and we prophesy in part."
"TLC10","1 Corinthians 13:10","But when that which is perfect is come, then that which is in part shall be done away."
"TLC11","1 Corinthians 13:11","When I was a child, I spake as a child, I understood as a child, I thought as a child: but when I became a man, I put away childish things."
"TLC12","1 Corinthians 13:12","For now we see through a glass, darkly; but then face to face: now I know in part; but then shall I know even as also I am known."
"TLC13","1 Corinthians 13:13","And now abideth faith, hope, charity, these three; but the greatest of these [is] charity.  "
