"TCC26","John 14:26","But the Advocate, the Holy Spirit, whom the Father will send in my name, will teach you all things and will remind you of everything I have said to you."
"TCC27","John 14:27","Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid."
"TCC28","John 14:28"," &ldquo;You heard me say, &lsquo;I am going away and I am coming back to you.&rsquo; If you loved me, you would be glad that I am going to the Father, for the Father is greater than I."
"TCC29","John 14:29","I have told you now before it happens, so that when it does happen you will believe."
"TCC30","John 14:30","I will not say much more to you, for the prince of this world is coming. He has no hold over me,"
"TCC31","John 14:31","but he comes so that the world may learn that I love the Father and do exactly what my Father has commanded me.  &ldquo;Come now; let us leave."
"TCA1","Ephesians 6:10","Finally, be strong in the Lord and in his mighty power."
"TCA2","Ephesians 6:11","Put on the full armor of God, so that you can take your stand against the devil&rsquo;s schemes."
"TCA3","Ephesians 6:12","For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms."
"TCA4","Ephesians 6:13","Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand."
"TCA5","Ephesians 6:14","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place,"
"TCA6","Ephesians 6:15","and with your feet fitted with the readiness that comes from the gospel of peace."
"TCA7","Ephesians 6:16","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one."
"TCA8","Ephesians 6:17","Take the helmet of salvation and the sword of the Spirit, which is the word of God."
"TCA9","Ephesians 6:18","And pray in the Spirit on all occasions with all kinds of prayers and requests. With this in mind, be alert and always keep on praying for all the Lord&rsquo;s people."
"TCA10","Ephesians 6:19","Pray also for me, that whenever I speak, words may be given me so that I will fearlessly make known the mystery of the gospel,"
"TCA11","Ephesians 6:20","for which I am an ambassador in chains. Pray that I may declare it fearlessly, as I should."
