TTC1,Exodus 20:3,Thou shalt have no other gods before me. 
TSOM106,Matthew 7:24,"Therefore whosoever heareth these sayings of mine, and doeth them, I will liken him unto a wise man, which built his house upon a rock: "
TSOM107,Matthew 7:25,"And the rain descended, and the floods came, and the winds blew, and beat upon that house; and it fell not: for it was founded upon a rock. "
TSOM108,Matthew 7:26,"And every one that heareth these sayings of mine, and doeth them not, shall be likened unto a foolish man, which built his house upon the sand: "
TSOM109,Matthew 7:27,"And the rain descended, and the floods came, and the winds blew, and beat upon that house; and it fell: and great was the fall of it. "
TSOM110,Matthew 7:28,"And it came to pass, when Jesus had ended these sayings, the people were astonished at his doctrine: "
TSOM111,Matthew 7:29,"For he taught them as [one] having authority, and not as the scribes. "
TPOTS1,Mark 4:1,"And he began again to teach by the sea side: and there was gathered unto him a great multitude, so that he entered into a ship, and sat in the sea; and the whole multitude was by the sea on the land. "
TPOTS2,Mark 4:2,"And he taught them many things by parables, and said unto them in his doctrine, "
TPOTS3,Mark 4:3,"Hearken; Behold, there went out a sower to sow: "
TPOTS4,Mark 4:4,"And it came to pass, as he sowed, some fell by the way side, and the fowls of the air came and devoured it up. "
TPOTS5,Mark 4:5,"And some fell on stony ground, where it had not much earth; and immediately it sprang up, because it had no depth of earth: "
TPOTS6,Mark 4:6,"But when the sun was up, it was scorched; and because it had no root, it withered away. "
TPOTS7,Mark 4:7,"And some fell among thorns, and the thorns grew up, and choked it, and it yielded no fruit. "
TPOTS8,Mark 4:8,"And other fell on good ground, and did yield fruit that sprang up and increased; and brought forth, some thirty, and some sixty, and some an hundred. "
TPOTS9,Mark 4:9,"And he said unto them, He that hath ears to hear, let him hear. "
TPOTS10,Mark 4:10,"And when he was alone, they that were about him with the twelve asked of him the parable. "
TPOTS11,Mark 4:11,"And he said unto them, Unto you it is given to know the mystery of the kingdom of God: but unto them that are without, all these [things] are done in parables: "
TPOTS12,Mark 4:12,"That seeing they may see, and not perceive; and hearing they may hear, and not understand; lest at any time they should be converted, and [their] sins should be forgiven them. "
TPOTS13,Mark 4:13,"And he said unto them, Know ye not this parable? and how then will ye know all parables? "
TPOTS14,Mark 4:14,The sower soweth the word. 
TPOTS15,Mark 4:15,"And these are they by the way side, where the word is sown; but when they have heard, Satan cometh immediately, and taketh away the word that was sown in their hearts. "
TPOTS16,Mark 4:16,"And these are they likewise which are sown on stony ground; who, when they have heard the word, immediately receive it with gladness; "
TPOTS17,Mark 4:17,"And have no root in themselves, and so endure but for a time: afterward, when affliction or persecution ariseth for the word's sake, immediately they are offended. "
TPOTS18,Mark 4:18,"And these are they which are sown among thorns; such as hear the word, "
TPOTS19,Mark 4:19,"And the cares of this world, and the deceitfulness of riches, and the lusts of other things entering in, choke the word, and it becometh unfruitful. "
TPOTS20,Mark 4:20,"And these are they which are sown on good ground; such as hear the word, and receive [it,] and bring forth fruit, some thirtyfold, some sixty, and some an hundred. "
TFLS1,Luke 22:15,"And he said unto them, With desire I have desired to eat this passover with you before I suffer: "
TFLS2,Luke 22:16,"For I say unto you, I will not any more eat thereof, until it be fulfilled in the kingdom of God. "
TFLS3,Luke 22:17,"And he took the cup, and gave thanks, and said, Take this, and divide [it] among yourselves: "
TFLS4,Luke 22:18,"For I say unto you, I will not drink of the fruit of the vine, until the kingdom of God shall come.     "
TFLS5,Luke 22:19,"And he took bread, and gave thanks, and brake [it,] and gave unto them, saying, This is my body which is given for you: this do in remembrance of me. "
TFLS6,Luke 22:20,"Likewise also the cup after supper, saying, This cup [is] the new testament in my blood, which is shed for you.  "
1-Jan,John 3:1,"There was a man of the Pharisees, named Nicodemus, a ruler of the Jews: "
2-Jan,John 3:2,"The same came to Jesus by night, and said unto him, Rabbi, we know that thou art a teacher come from God: for no man can do these miracles that thou doest, except God be with him. "
3-Jan,John 3:3,"Jesus answered and said unto him, Verily, verily, I say unto thee, Except a man be born again, he cannot see the kingdom of God. "
4-Jan,John 3:4,"Nicodemus saith unto him, How can a man be born when he is old? can he enter the second time into his mother's womb, and be born? "
5-Jan,John 3:5,"Jesus answered, Verily, verily, I say unto thee, Except a man be born of water and [of] the Spirit, he cannot enter into the kingdom of God. "
6-Jan,John 3:6,That which is born of the flesh is flesh; and that which is born of the Spirit is spirit. 
7-Jan,John 3:7,"Marvel not that I said unto thee, Ye must be born again. "
8-Jan,John 3:8,"The wind bloweth where it listeth, and thou hearest the sound thereof, but canst not tell whence it cometh, and whither it goeth: so is every one that is born of the Spirit. "
9-Jan,John 3:9,"Nicodemus answered and said unto him, How can these things be? "
10-Jan,John 3:10,"Jesus answered and said unto him, Art thou a master of Israel, and knowest not these things? "
11-Jan,John 3:11,"Verily, verily, I say unto thee, We speak that we do know, and testify that we have seen; and ye receive not our witness. "
12-Jan,John 3:12,"If I have told you earthly things, and ye believe not, how shall ye believe, if I tell you [of] heavenly things? "
13-Jan,John 3:13,"And no man hath ascended up to heaven, but he that came down from heaven, [even] the Son of man which is in heaven. "
14-Jan,John 3:14,"And as Moses lifted up the serpent in the wilderness, even so must the Son of man be lifted up: "
15-Jan,John 3:15,"That whosoever believeth in him should not perish, but have eternal life. "
16-Jan,John 3:16,"For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life. "
17-Jan,John 3:17,For God sent not his Son into the world to condemn the world; but that the world through him might be saved. 
18-Jan,John 3:18,"He that believeth on him is not condemned: but he that believeth not is condemned already, because he hath not believed in the name of the only begotten Son of God. "
19-Jan,John 3:19,"And this is the condemnation, that light is come into the world, and men loved darkness rather than light, because their deeds were evil. "
20-Jan,John 3:20,"For every one that doeth evil hateth the light, neither cometh to the light, lest his deeds should be reproved. "
21-Jan,John 3:21,"But he that doeth truth cometh to the light, that his deeds may be made manifest, that they are wrought in God. "
TC1,John 19:1,"Then Pilate therefore took Jesus, and scourged [him. ]"
TC2,John 19:2,"And the soldiers platted a crown of thorns, and put [it] on his head, and they put on him a purple robe, "
TC3,John 19:3,"And said, Hail, King of the Jews! and they smote him with their hands. "
TC4,John 19:4,"Pilate therefore went forth again, and saith unto them, Behold, I bring him forth to you, that ye may know that I find no fault in him. "
TC5,John 19:5,"Then came Jesus forth, wearing the crown of thorns, and the purple robe. And [Pilate] saith unto them, Behold the man! "
TC6,John 19:6,"When the chief priests therefore and officers saw him, they cried out, saying, Crucify [him,] crucify [him.] Pilate saith unto them, Take ye him, and crucify [him:] for I find no fault in him. "
TC7,John 19:7,"The Jews answered him, We have a law, and by our law he ought to die, because he made himself the Son of God. "
TC8,John 19:8,"When Pilate therefore heard that saying, he was the more afraid; "
TC9,John 19:9,"And went again into the judgment hall, and saith unto Jesus, Whence art thou? But Jesus gave him no answer. "
