"TCC1","John 14:1","Let not your heart be troubled: ye believe in God, believe also in me."
"TCC2","John 14:2","In my Father's house are many mansions: if it were not so, I would have told you. I go to prepare a place for you."
"TCC3","John 14:3","And if I go and prepare a place for you, I will come again, and receive you unto myself; that where I am, there ye may be also."
"TCC4","John 14:4","And whither I go ye know, and the way ye know."
"TCC5","John 14:5","Thomas saith unto him, Lord, we know not whither thou goest; and how can we know the way?"
"TCC6","John 14:6","Jesus saith unto him, I am the way, the truth, and the life: no man cometh unto the Father, but by me."
"TCC7","John 14:7","If ye had known me, ye should have known my Father also: and from henceforth ye know him, and have seen him."
"TCC8","John 14:8","Philip saith unto him, Lord, shew us the Father, and it sufficeth us."
"TCC9","John 14:9","Jesus saith unto him, Have I been so long time with you, and yet hast thou not known me, Philip? he that hath seen me hath seen the Father; and how sayest thou then, Shew us the Father?"
"TCC10","John 14:10","Believest thou not that I am in the Father, and the Father in me? the words that I speak unto you I speak not of myself: but the Father that dwelleth in me, he doeth the works."
"TCC11","John 14:11","Believe me that I am in the Father, and the Father in me: or else believe me for the very works' sake."
"TCC12","John 14:12","Verily, verily, I say unto you, He that believeth on me, the works that I do shall he do also; and greater works than these shall he do; because I go unto my Father."
"TCC13","John 14:13","And whatsoever ye shall ask in my name, that will I do, that the Father may be glorified in the Son."
"TCC14","John 14:14","If ye shall ask any thing in my name, I will do it."
"TCC15","John 14:15","If ye love me, keep my commandments."
"TCC16","John 14:16","And I will pray the Father, and he shall give you another Comforter, that he may abide with you for ever;"
"TCC17","John 14:17","Even the Spirit of truth; whom the world cannot receive, because it seeth him not, neither knoweth him: but ye know him; for he dwelleth with you, and shall be in you."
"TCC18","John 14:18","I will not leave you comfortless: I will come to you."
"TCC19","John 14:19","Yet a little while, and the world seeth me no more; but ye see me: because I live, ye shall live also."
"TCC20","John 14:20","At that day ye shall know that I am in my Father, and ye in me, and I in you."
"TCC21","John 14:21","He that hath my commandments, and keepeth them, he it is that loveth me: and he that loveth me shall be loved of my Father, and I will love him, and will manifest myself to him."
"TCC22","John 14:22","Judas saith unto him, not Iscariot, Lord, how is it that thou wilt manifest thyself unto us, and not unto the world?"
"TCC23","John 14:23","Jesus answered and said unto him, If a man love me, he will keep my words: and my Father will love him, and we will come unto him, and make our abode with him."
"TCC24","John 14:24","He that loveth me not keepeth not my sayings: and the word which ye hear is not mine, but the Father's which sent me."
"TCC25","John 14:25","These things have I spoken unto you, being yet present with you."
"TCC26","John 14:26","But the Comforter, which is the Holy Ghost, whom the Father will send in my name, he shall teach you all things, and bring all things to your remembrance, whatsoever I have said unto you."
"TCC27","John 14:27","Peace I leave with you, my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be afraid."
"TCC28","John 14:28","Ye have heard how I said unto you, I go away, and come again unto you. If ye loved me, ye would rejoice, because I said, I go unto the Father: for my Father is greater than I."
"TCC29","John 14:29","And now I have told you before it come to pass, that, when it is come to pass, ye might believe."
"TCC30","John 14:30","Hereafter I will not talk much with you: for the prince of this world cometh, and hath nothing in me."
"TCC31","John 14:31","But that the world may know that I love the Father; and as the Father gave me commandment, even so I do. Arise, let us go hence."
"TCA1","Ephesians 6:10","Finally, my brethren, be strong in the Lord, and in the power of his might."
"TCA2","Ephesians 6:11","Put on the whole armour of God, that ye may be able to stand against the wiles of the devil."
"TCA3","Ephesians 6:12","For we wrestle not against flesh and blood, but against principalities, against powers, against the rulers of the darkness of this world, against spiritual wickedness in high places."
"TCA4","Ephesians 6:13","Wherefore take unto you the whole armour of God, that ye may be able to withstand in the evil day, and having done all, to stand."
"TCA5","Ephesians 6:14","Stand therefore, having your loins girt about with truth, and having on the breastplate of righteousness;"
"TCA6","Ephesians 6:15","And your feet shod with the preparation of the gospel of peace;"
"TCA7","Ephesians 6:16","Above all, taking the shield of faith, wherewith ye shall be able to quench all the fiery darts of the wicked."
"TCA8","Ephesians 6:17","And take the helmet of salvation, and the sword of the Spirit, which is the word of God:"
"TCA9","Ephesians 6:18","Praying always with all prayer and supplication in the Spirit, and watching thereunto with all perseverance and supplication for all saints;"
"TCA10","Ephesians 6:19","And for me, that utterance may be given unto me, that I may open my mouth boldly, to make known the mystery of the gospel,"
"TCA11","Ephesians 6:20","For which I am an ambassador in bonds: that therein I may speak boldly, as I ought to speak."
